,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl,Player
17,2021-22,33,PHI,NBA,C,16,1,214,32,54,0.593,0,0,,32,54,0.593,0.593,10,14,0.714,32,60,92,8,2,9,16,21,74,,,"
DeAndre Jordan
"
0,2004-05,19,ORL,NBA,PF,82,82,2670,352,677,0.52,0,2,0.0,352,675,0.521,0.52,277,413,0.671,287,536,823,75,77,136,165,232,981,,0.0,"
Dwight Howard
"
1,2005-06,20,ORL,NBA,PF,82,81,3021,468,881,0.531,0,2,0.0,468,879,0.532,0.531,356,598,0.595,288,734,1022,125,65,115,217,277,1292,,0.0,"
Dwight Howard
"
2,2006-07,21,ORL,NBA,C,82,82,3023,526,873,0.603,1,2,0.5,525,871,0.603,0.603,390,666,0.586,283,725,1008,158,70,156,317,245,1443,,0.0,"
Dwight Howard
"
3,2007-08,22,ORL,NBA,C,82,82,3088,583,974,0.599,0,4,0.0,583,970,0.601,0.599,529,897,0.59,279,882,1161,110,74,176,263,274,1695,,0.0,"
Dwight Howard
"
4,2008-09,23,ORL,NBA,C,79,79,2821,560,979,0.572,0,2,0.0,560,977,0.573,0.572,504,849,0.594,336,757,1093,112,77,231,240,270,1624,,1.0,"
Dwight Howard
"
5,2009-10,24,ORL,NBA,C,82,82,2843,510,834,0.612,0,7,0.0,510,827,0.617,0.612,483,816,0.592,284,798,1082,144,75,228,274,287,1503,,0.0,"
Dwight Howard
"
6,2010-11,25,ORL,NBA,C,78,78,2935,619,1044,0.593,0,7,0.0,619,1037,0.597,0.593,546,916,0.596,309,789,1098,107,107,186,279,258,1784,,0.0,"
Dwight Howard
"
7,2011-12,26,ORL,NBA,C,54,54,2070,416,726,0.573,0,7,0.0,416,719,0.579,0.573,281,572,0.491,200,585,785,104,81,116,175,159,1113,,0.0,"
Dwight Howard
"
8,2012-13,27,LAL,NBA,C,76,76,2722,470,813,0.578,1,6,0.167,469,807,0.581,0.579,355,721,0.492,251,694,945,108,84,186,225,291,1296,,0.0,"
Dwight Howard
"
9,2013-14,28,HOU,NBA,C,71,71,2396,473,800,0.591,2,7,0.286,471,793,0.594,0.593,349,638,0.547,231,635,866,131,60,128,229,240,1297,,0.0,"
Dwight Howard
"
10,2014-15,29,HOU,NBA,C,41,41,1223,251,423,0.593,1,2,0.5,250,421,0.594,0.595,143,271,0.528,110,321,431,50,28,53,115,137,646,,0.0,"
Dwight Howard
"
11,2015-16,30,HOU,NBA,C,71,71,2280,372,600,0.62,0,6,0.0,372,594,0.626,0.62,232,474,0.489,238,597,835,98,69,113,166,219,976,,0.0,"
Dwight Howard
"
12,2016-17,31,ATL,NBA,C,74,74,2199,388,613,0.633,0,2,0.0,388,611,0.635,0.633,226,424,0.533,296,644,940,104,64,92,170,203,1002,,0.0,"
Dwight Howard
"
13,2017-18,32,CHO,NBA,C,81,81,2463,506,911,0.555,1,7,0.143,505,904,0.559,0.556,334,582,0.574,255,757,1012,105,48,131,208,249,1347,,0.0,"
Dwight Howard
"
